matched_2021,new_item_2022,food_category,restaurant,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,5,0,0,0,0,0,2,0,,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,,0,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,0,2,,1,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,1,,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,15,0,0,0,0,0,3,,1,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,0,0,0,0,0,0,1,0,,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,15,0,0,0,0,0,4,1,2,,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,0,2,1,0,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,25,0,0,0,0,0,6,1,3,,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,10,0,0,0,0,0,2,0,1,0,
1,0,Toppings & Ingredients,Jimmy John's,,,,Xtra,5,0,0,0,0,0,1,,,0,
0,1,Beverages,IHOP,,,,X-Large,130,0,0,0,0,65,34,0,31,0,
0,1,Beverages,IHOP,,,,X-Large,290,0,0,0,0,55,78,0,78,0,
0,1,Beverages,IHOP,,,,X-Large,10,0,0,0,0,15,2,0,0,0,
0,1,Beverages,IHOP,,,,X-Large,370,0,0,0,0,15,94,0,92,0,
0,1,Beverages,IHOP,,,,X-Large,300,0,0,0,0,15,78,0,76,0,
1,0,Beverages,Dunkin' Donuts,,,,XLarge,500,15,14,0,0,480,89,3,71,4,335
1,0,Beverages,Dairy Queen,,,,Xlarge,620,0.5,0,0,0,240,144,5,131,11,
1,0,Beverages,Dairy Queen,,,,Xlarge,590,0,0,0,0,230,136,1,130,10,
1,0,Beverages,Dairy Queen,,,,Xlarge,660,0,0,0,0,220,153,3,149,10,
1,0,Beverages,Dunkin' Donuts,,,,XLarge,420,15,8,0,45,210,64,0,63,7,581
0,1,Beverages,Dunkin' Donuts,,,,XLarge,430,15,8,0,45,210,65,0,63,7,555
1,0,Beverages,Dunkin' Donuts,,,,XLarge,420,15,8,0,50,150,67,0,66,6,782
1,0,Beverages,Dunkin' Donuts,,,,XLarge,280,0,0,0,0,150,62,0,61,5,511
1,0,Beverages,Dunkin' Donuts,,,,XLarge,410,15,8,0,45,150,62,0,61,7,596
1,0,Beverages,Dunkin' Donuts,,,,XLarge,420,15,8,0,50,135,66,0,63,6,736
1,0,Beverages,Dunkin' Donuts,,,,XLarge,410,15,8,0,45,100,65,3,59,5,787
1,0,Beverages,Dunkin' Donuts,,,,XLarge,270,0,0,0,5,100,60,0,59,5,526
1,0,Beverages,Dunkin' Donuts,,,,XLarge,280,0,0,0,5,95,64,0,64,4,712
1,0,Beverages,Dunkin' Donuts,,,,XLarge,45,1.5,0,0,0,85,7,0,7,1,344
1,0,Beverages,Dunkin' Donuts,,,,XLarge,280,0,0,0,5,85,64,0,61,4,666
1,0,Beverages,Dunkin' Donuts,,,,XLarge,150,15,8,0,45,65,2,0,2,3,381
1,0,Beverages,Dunkin' Donuts,,,,XLarge,320,15,8,0,45,65,46,0,46,3,382
1,0,Beverages,Dunkin' Donuts,,,,XLarge,60,1.5,0,0,0,65,10,1,2,1,427
1,0,Beverages,Dunkin' Donuts,,,,XLarge,30,0,0,0,0,45,4,0,4,3,396
1,0,Beverages,Dunkin' Donuts,,,,XLarge,200,0,0,0,0,45,47,0,47,3,398
1,0,Beverages,Dunkin' Donuts,,,,XLarge,260,1,0.5,0,0,45,63,3,57,3,717
1,0,Beverages,Dunkin' Donuts,,,,XLarge,50,2.5,1.5,0,10,45,4,0,4,3,379
1,0,Beverages,Dunkin' Donuts,,,,XLarge,220,2.5,1.5,0,10,45,47,0,47,3,380
1,0,Beverages,Dunkin' Donuts,,,,XLarge,25,2,1.5,0,0,35,1,0,0,1,389
1,0,Beverages,Dunkin' Donuts,,,,XLarge,5,0,0,0,0,15,0,0,0,1,311
1,0,Beverages,Dunkin' Donuts,,,,XLarge,170,0,0,0,0,15,44,0,43,1,311
1,0,Toppings & Ingredients,Dairy Queen,,,,Xlarge,74,0,0,0,0,0,17,2,9,1,
1,0,Pizza,Domino's,211,,g,XL (1/8 pizza),510,25,11,0.5,60,1270,47,2,5,22,
1,0,Pizza,Domino's,185,,g,XL (1/8 pizza),490,24,10,0.5,60,1210,45,2,4,21,
1,0,Pizza,Domino's,174,,g,XL (1/8 pizza),530,29,11,0.5,65,1160,44,1,3,22,
1,0,Pizza,Domino's,174,,g,XL (1/8 pizza),400,16,8,0,40,820,46,2,4,16,
1,0,Pizza,Domino's,173,,g,XL (1/8 pizza),490,24,12,1,65,1130,46,2,5,20,
1,0,Pizza,Domino's,173,,g,XL (1/8 pizza),430,18,8,0,45,1020,46,2,6,19,
1,0,Pizza,Domino's,172,,g,XL (1/8 pizza),410,18,7,0,35,850,46,2,5,16,
1,0,Pizza,Domino's,166,,g,XL (1/8 pizza),480,24,11,0.5,55,1140,45,2,4,20,
1,0,Pizza,Domino's,166,,g,XL (1/8 pizza),460,19,9,0.5,55,860,51,2,9,20,
1,0,Pizza,Domino's,165,,g,XL (1/8 pizza),450,20,10,0.5,60,990,45,2,3,20,
