restaurant,calories,total_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,cuisine
Applebee's,160,0.0,0,70,45,0,45,0,american restaurant
Applebee's,70,0.0,0,80,19,0,19,0,american restaurant
Applebee's,0,0.0,0,40,0,0,0,0,american restaurant
Applebee's,0,0.0,0,35,0,0,0,0,american restaurant
Applebee's,150,0.0,0,35,42,0,42,0,american restaurant
Applebee's,0,0.0,0,40,0,0,0,0,american restaurant
Applebee's,0,0.0,0,40,0,0,0,0,american restaurant
Applebee's,0,0.0,0,50,0,0,0,0,american restaurant
Applebee's,0,0.0,0,35,0,0,0,0,american restaurant
Applebee's,0,0.0,0,35,0,0,0,0,american restaurant
Applebee's,170,0.0,0,75,43,0,41,0,american restaurant
Applebee's,170,0.0,0,40,45,0,45,0,american restaurant
Applebee's,100,0.0,0,50,22,0,22,0,american restaurant
Applebee's,130,0.0,0,30,35,0,35,0,american restaurant
Applebee's,70,0.0,0,110,20,0,19,0,american restaurant
Applebee's,70,0.0,0,110,18,0,18,0,american restaurant
Applebee's,0,0.0,0,105,0,0,0,0,american restaurant
Applebee's,170,0.0,0,50,47,0,46,0,american restaurant
Applebee's,170,0.0,0,60,46,0,46,0,american restaurant
Applebee's,160,0.0,0,65,43,0,43,0,american restaurant
Applebee's,160,0.0,0,55,44,0,44,0,american restaurant
Applebee's,160,0.0,0,55,44,0,44,0,american restaurant
Applebee's,150,0.0,0,30,41,0,41,0,american restaurant
Applebee's,140,0.0,0,40,39,0,39,0,american restaurant
Applebee's,0,0.0,0,45,0,0,0,0,american restaurant
Applebee's,140,0.0,0,65,38,0,38,0,american restaurant
Applebee's,160,0.0,0,45,45,0,44,0,american restaurant
Applebee's,160,0.0,0,30,42,0,42,0,american restaurant
Applebee's,90,0.0,0,45,25,0,25,0,american restaurant
Applebee's,110,0.0,0,30,30,0,29,0,american restaurant
Applebee's,1340,79.0,235,1790,69,7,14,89,american restaurant
Applebee's,1200,79.0,155,1960,83,8,27,44,american restaurant
Applebee's,400,31.0,85,300,0,0,0,30,american restaurant
Applebee's,320,0.0,0,1360,79,5,66,2,american restaurant
Applebee's,1500,89.0,175,2540,139,6,19,38,american restaurant
Applebee's,1830,117.0,285,4910,118,11,12,79,american restaurant
Applebee's,920,53.0,80,2630,83,5,6,27,american restaurant
Applebee's,580,26.0,95,1510,55,3,26,32,american restaurant
Applebee's,180,7.0,0,250,25,1,3,4,american restaurant
Applebee's,1330,83.0,135,2690,92,8,8,56,american restaurant
Applebee's,1220,74.0,110,2340,91,8,8,48,american restaurant
Applebee's,560,36.0,55,1050,37,2,7,24,american restaurant
Applebee's,220,6.0,60,570,19,1,2,20,american restaurant
Applebee's,670,41.0,175,1290,39,2,5,35,american restaurant
Applebee's,700,29.0,40,1160,86,4,12,25,american restaurant
Applebee's,350,17.0,40,700,34,2,2,15,american restaurant
Applebee's,1390,76.0,350,2730,102,8,12,78,american restaurant
Applebee's,1290,75.0,355,2770,103,8,12,54,american restaurant
Applebee's,1320,69.0,330,2620,99,6,11,76,american restaurant
Applebee's,860,58.0,190,2100,57,8,9,31,american restaurant
Applebee's,1940,130.0,275,4440,120,12,13,76,american restaurant
Applebee's,890,49.0,225,2050,44,7,6,73,american restaurant
Applebee's,910,52.0,145,1390,55,5,2,57,american restaurant
Applebee's,600,28.0,110,1790,47,7,5,43,american restaurant
Applebee's,1000,61.0,240,1860,57,6,27,60,american restaurant
Applebee's,1630,102.0,160,2890,117,8,19,63,american restaurant
Applebee's,190,2.5,150,770,0,0,0,40,american restaurant
Applebee's,1880,112.0,65,2910,175,11,37,43,american restaurant
Applebee's,1680,95.0,150,2810,149,10,37,59,american restaurant
Applebee's,1350,72.0,80,3940,122,9,14,58,american restaurant
Applebee's,390,18.0,45,1120,38,2,4,17,american restaurant
Applebee's,210,17.0,45,710,8,3,3,9,american restaurant
Applebee's,260,12.0,45,85,35,0,29,3,american restaurant
Applebee's,110,0.0,0,105,29,0,27,0,american restaurant
Applebee's,110,0.0,0,110,29,0,27,0,american restaurant
Applebee's,160,0.0,0,100,40,0,38,0,american restaurant
Applebee's,110,0.0,0,70,28,0,27,0,american restaurant
Applebee's,110,0.0,0,105,29,0,27,0,american restaurant
Applebee's,10,0.0,0,105,2,0,0,0,american restaurant
Applebee's,120,0.0,0,140,29,0,28,0,american restaurant
Applebee's,150,0.0,0,60,40,0,38,0,american restaurant
Applebee's,160,0.0,0,60,40,0,40,0,american restaurant
